depth_ratio,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.825, 0.941]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.941, 0.99]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.99, 1.013]",2,0.0,0.0,0.5,0.5,0.0,0.0,0.0
"(1.013, 1.071]",3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
"(1.071, 1.137]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.137, 1.229]",3,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
"(1.229, 1.291]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.291, 1.332]",2,0.0,0.0,0.0,0.0,0.5,0.0,0.0
"(1.332, 1.499]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.499, 1.667]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1.667, 1.882]",3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
"(1.882, 2.094]",3,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
