median_detected,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(286.499, 318.75]",3,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
"(318.75, 360.0]",3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
"(360.0, 400.375]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(400.375, 450.333]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(450.333, 464.75]",2,0.0,0.0,0.0,0.0,0.5,0.0,0.0
"(464.75, 488.5]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(488.5, 527.833]",3,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
"(527.833, 560.5]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(560.5, 592.375]",3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
"(592.375, 606.0]",2,0.0,0.0,0.5,0.5,0.0,0.0,0.0
"(606.0, 638.625]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(638.625, 726.0]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
