depth_ratio,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.819, 0.984]",90,0.4666666666666667,0.4666666666666667,0.36666666666666664,0.6,0.3111111111111111,0.08888888888888889,0.16666666666666666
"(0.984, 1.007]",91,0.37362637362637363,0.38461538461538464,0.26373626373626374,0.5384615384615384,0.18681318681318682,0.07692307692307693,0.10989010989010989
"(1.007, 1.061]",90,0.3,0.3111111111111111,0.25555555555555554,0.5111111111111111,0.2,0.08888888888888889,0.1111111111111111
"(1.061, 1.153]",89,0.47191011235955055,0.4606741573033708,0.38202247191011235,0.5955056179775281,0.20224719101123595,0.0449438202247191,0.02247191011235955
"(1.153, 1.241]",91,0.45054945054945056,0.43956043956043955,0.4065934065934066,0.5824175824175825,0.17582417582417584,0.04395604395604396,0.08791208791208792
"(1.241, 1.29]",90,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.45555555555555555,0.12222222222222222,0.03333333333333333,0.05555555555555555
"(1.29, 1.345]",89,0.33707865168539325,0.33707865168539325,0.33707865168539325,0.5393258426966292,0.20224719101123595,0.033707865168539325,0.056179775280898875
"(1.345, 1.441]",90,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.6,0.2,0.044444444444444446,0.05555555555555555
"(1.441, 1.511]",91,0.43956043956043955,0.45054945054945056,0.34065934065934067,0.5824175824175825,0.18681318681318682,0.12087912087912088,0.14285714285714285
"(1.511, 1.717]",89,0.3707865168539326,0.34831460674157305,0.2808988764044944,0.5168539325842697,0.12359550561797752,0.0449438202247191,0.07865168539325842
"(1.717, 1.841]",90,0.45555555555555555,0.4444444444444444,0.43333333333333335,0.5888888888888889,0.2777777777777778,0.06666666666666667,0.1111111111111111
"(1.841, 2.105]",90,0.43333333333333335,0.4222222222222222,0.37777777777777777,0.5666666666666667,0.2222222222222222,0.12222222222222222,0.13333333333333333
