median_detected,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(284.999, 325.917]",90,0.43333333333333335,0.4222222222222222,0.37777777777777777,0.5666666666666667,0.2222222222222222,0.12222222222222222,0.13333333333333333
"(325.917, 349.417]",90,0.45555555555555555,0.4444444444444444,0.43333333333333335,0.5888888888888889,0.2777777777777778,0.06666666666666667,0.1111111111111111
"(349.417, 397.0]",92,0.3804347826086957,0.358695652173913,0.29347826086956524,0.5217391304347826,0.11956521739130435,0.05434782608695652,0.08695652173913043
"(397.0, 416.333]",88,0.4318181818181818,0.4431818181818182,0.32954545454545453,0.5795454545454546,0.19318181818181818,0.11363636363636363,0.13636363636363635
"(416.333, 446.167]",90,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.6,0.2,0.044444444444444446,0.05555555555555555
"(446.167, 465.0]",95,0.3263157894736842,0.3263157894736842,0.3368421052631579,0.5263157894736842,0.2,0.031578947368421054,0.05263157894736842
"(465.0, 483.5]",87,0.3333333333333333,0.3333333333333333,0.25287356321839083,0.4482758620689655,0.11494252873563218,0.034482758620689655,0.05747126436781609
"(483.5, 520.167]",88,0.4659090909090909,0.45454545454545453,0.42045454545454547,0.6022727272727273,0.18181818181818182,0.045454545454545456,0.09090909090909091
"(520.167, 565.5]",95,0.49473684210526314,0.4842105263157895,0.3894736842105263,0.6,0.22105263157894736,0.042105263157894736,0.021052631578947368
"(565.5, 596.0]",86,0.26744186046511625,0.27906976744186046,0.23255813953488372,0.5,0.1744186046511628,0.09302325581395349,0.11627906976744186
"(596.0, 609.542]",89,0.3707865168539326,0.38202247191011235,0.2696629213483146,0.5393258426966292,0.19101123595505617,0.07865168539325842,0.11235955056179775
"(609.542, 731.5]",90,0.4666666666666667,0.4666666666666667,0.36666666666666664,0.6,0.3111111111111111,0.08888888888888889,0.16666666666666666
