tie_break_share,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.00258, 0.0171]",90,0.5555555555555556,0.5555555555555556,0.4777777777777778,0.7444444444444445,0.43333333333333335,0.08888888888888889,0.15555555555555556
"(0.0171, 0.0312]",90,0.6111111111111112,0.6111111111111112,0.5,0.7777777777777778,0.45555555555555555,0.05555555555555555,0.08888888888888889
"(0.0312, 0.0436]",90,0.5777777777777777,0.5777777777777777,0.4222222222222222,0.7,0.32222222222222224,0.1111111111111111,0.14444444444444443
"(0.0436, 0.0571]",90,0.5111111111111111,0.5111111111111111,0.4444444444444444,0.6888888888888889,0.3333333333333333,0.044444444444444446,0.13333333333333333
"(0.0571, 0.0778]",90,0.5555555555555556,0.5555555555555556,0.43333333333333335,0.6444444444444445,0.3111111111111111,0.06666666666666667,0.08888888888888889
"(0.0778, 0.0972]",90,0.4666666666666667,0.43333333333333335,0.4,0.6333333333333333,0.2111111111111111,0.05555555555555555,0.1111111111111111
"(0.0972, 0.131]",90,0.25555555555555554,0.26666666666666666,0.23333333333333334,0.4888888888888889,0.05555555555555555,0.022222222222222223,0.03333333333333333
"(0.131, 0.184]",90,0.2,0.2111111111111111,0.24444444444444444,0.43333333333333335,0.044444444444444446,0.03333333333333333,0.07777777777777778
"(0.184, 0.246]",90,0.2222222222222222,0.2222222222222222,0.2111111111111111,0.3888888888888889,0.03333333333333333,0.1,0.08888888888888889
"(0.246, 0.361]",90,0.2777777777777778,0.26666666666666666,0.26666666666666666,0.4444444444444444,0.05555555555555555,0.06666666666666667,0.05555555555555555
"(0.361, 0.488]",90,0.2111111111111111,0.2,0.1111111111111111,0.28888888888888886,0.03333333333333333,0.05555555555555555,0.05555555555555555
"(0.488, 0.703]",90,0.35555555555555557,0.35555555555555557,0.3,0.4444444444444444,0.12222222222222222,0.1111111111111111,0.1
