test,implied_low,implied_high,implied_median,n,rate,ci_low,ci_high
naive,-0.00099848,0.00164,0.0007466518266679515,180,0.07777777777777778,0.046892990443628484,0.1263082871779762
naive,0.00164,0.00713,0.0035492040059935262,180,0.044444444444444446,0.022689821193114634,0.08523787308282728
naive,0.00713,0.0338,0.01835427157586536,180,0.08888888888888889,0.05545412412712826,0.1395050146096974
naive,0.0338,0.0591,0.045899897475806126,180,0.35555555555555557,0.28931215725066883,0.42783564825145926
naive,0.0591,0.0966,0.07857044433907129,180,0.8333333333333334,0.7720468899777125,0.8806889434789155
naive,0.0966,0.297,0.14541814374430667,180,1.0,0.9791037501849418,1.0
permutation,-0.00099848,0.00164,0.0007466518266679515,180,0.08333333333333333,0.05114940634159579,0.13293080183761938
permutation,0.00164,0.00713,0.0035492040059935262,180,0.05555555555555555,0.03045294395962398,0.09923261143153883
permutation,0.00713,0.0338,0.01835427157586536,180,0.08333333333333333,0.05114940634159579,0.13293080183761938
permutation,0.0338,0.0591,0.045899897475806126,180,0.3388888888888889,0.2737500545777787,0.410760959251518
permutation,0.0591,0.0966,0.07857044433907129,180,0.8277777777777777,0.7659200997039709,0.8759368031950464
permutation,0.0966,0.297,0.14541814374430667,180,0.9944444444444445,0.9692061604403328,0.9990186591869987
cutpoint_median,-0.00099848,0.00164,0.0007466518266679515,180,0.1,0.06419372884806379,0.15252327100398277
cutpoint_median,0.00164,0.00713,0.0035492040059935262,180,0.05,0.02652483692561692,0.09228178790793545
cutpoint_median,0.00713,0.0338,0.01835427157586536,180,0.08888888888888889,0.05545412412712826,0.1395050146096974
cutpoint_median,0.0338,0.0591,0.045899897475806126,180,0.3111111111111111,0.24802024905224976,0.3820961119889945
cutpoint_median,0.0591,0.0966,0.07857044433907129,180,0.5555555555555556,0.4825551403258598,0.6262341652502449
cutpoint_median,0.0966,0.297,0.14541814374430667,180,0.9166666666666666,0.8670691981623806,0.9488505936584042
cutpoint_optimal,-0.00099848,0.00164,0.0007466518266679515,180,0.29444444444444445,0.23271265880207026,0.3647669105663427
cutpoint_optimal,0.00164,0.00713,0.0035492040059935262,180,0.3,0.23780396396426395,0.37055453596175936
cutpoint_optimal,0.00713,0.0338,0.01835427157586536,180,0.3055555555555556,0.24290655074000767,0.3763308797436262
cutpoint_optimal,0.0338,0.0591,0.045899897475806126,180,0.5888888888888889,0.5158808549890499,0.6581820339327176
cutpoint_optimal,0.0591,0.0966,0.07857044433907129,180,0.8555555555555555,0.7967685455528166,0.899483010134253
cutpoint_optimal,0.0966,0.297,0.14541814374430667,180,0.9944444444444445,0.9692061604403328,0.9990186591869987
random,-0.00099848,0.00164,0.0007466518266679515,180,0.07222222222222222,0.04268933217596355,0.11963301488803066
random,0.00164,0.00713,0.0035492040059935262,180,0.05,0.02652483692561692,0.09228178790793545
random,0.00713,0.0338,0.01835427157586536,180,0.022222222222222223,0.008674783101630956,0.05573718894386907
random,0.0338,0.0591,0.045899897475806126,180,0.06111111111111111,0.034462356876136024,0.10610212907263727
random,0.0591,0.0966,0.07857044433907129,180,0.2833333333333333,0.22256462100585814,0.35315708724733375
random,0.0966,0.297,0.14541814374430667,180,0.7166666666666667,0.6468429127526663,0.777435378994142
expression,-0.00099848,0.00164,0.0007466518266679515,180,0.08888888888888889,0.05545412412712826,0.1395050146096974
expression,0.00164,0.00713,0.0035492040059935262,180,0.05,0.02652483692561692,0.09228178790793545
expression,0.00713,0.0338,0.01835427157586536,180,0.06666666666666667,0.03854369219884437,0.11289972430753939
expression,0.0338,0.0591,0.045899897475806126,180,0.027777777777777776,0.011921946194847512,0.06336895640826298
expression,0.0591,0.0966,0.07857044433907129,180,0.08888888888888889,0.05545412412712826,0.1395050146096974
expression,0.0966,0.297,0.14541814374430667,180,0.08333333333333333,0.05114940634159579,0.13293080183761938
codetection,-0.00099848,0.00164,0.0007466518266679515,180,0.09444444444444444,0.059803329908944554,0.14603473938549152
codetection,0.00164,0.00713,0.0035492040059935262,180,0.06111111111111111,0.034462356876136024,0.10610212907263727
codetection,0.00713,0.0338,0.01835427157586536,180,0.07222222222222222,0.04268933217596355,0.11963301488803066
codetection,0.0338,0.0591,0.045899897475806126,180,0.027777777777777776,0.011921946194847512,0.06336895640826298
codetection,0.0591,0.0966,0.07857044433907129,180,0.12777777777777777,0.08667435764393652,0.18443729499616232
codetection,0.0966,0.297,0.14541814374430667,180,0.18333333333333332,0.13362624296924455,0.24627471524695896
