depth_ratio,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.432, 0.64]",50,0.16,0.16,0.1,0.38,0.06,0.04,0.04
"(0.64, 0.802]",50,0.12,0.16,0.1,0.36,0.08,0.0,0.0
"(0.802, 0.951]",50,0.2,0.2,0.16,0.4,0.08,0.14,0.1
"(0.951, 1.111]",50,0.28,0.28,0.22,0.58,0.1,0.02,0.02
"(1.111, 1.322]",51,0.2549019607843137,0.23529411764705882,0.3137254901960784,0.5098039215686274,0.0784313725490196,0.0196078431372549,0.0
"(1.322, 1.559]",49,0.3673469387755102,0.3673469387755102,0.42857142857142855,0.6326530612244898,0.1836734693877551,0.12244897959183673,0.08163265306122448
"(1.559, 1.889]",50,0.44,0.44,0.42,0.54,0.18,0.0,0.0
"(1.889, 2.179]",50,0.52,0.52,0.46,0.6,0.24,0.06,0.08
"(2.179, 2.612]",50,0.52,0.52,0.46,0.6,0.24,0.04,0.04
"(2.612, 3.077]",51,0.5098039215686274,0.5098039215686274,0.5294117647058824,0.5882352941176471,0.35294117647058826,0.13725490196078433,0.058823529411764705
"(3.077, 3.871]",50,0.54,0.54,0.54,0.68,0.36,0.1,0.06
"(3.871, 6.383]",49,0.5102040816326531,0.5102040816326531,0.4489795918367347,0.673469387755102,0.3877551020408163,0.12244897959183673,0.04081632653061224
