median_detected,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(93.999, 155.0]",52,0.5384615384615384,0.5384615384615384,0.4807692307692308,0.6923076923076923,0.40384615384615385,0.11538461538461539,0.038461538461538464
"(155.0, 195.0]",49,0.5306122448979592,0.5306122448979592,0.5306122448979592,0.673469387755102,0.3673469387755102,0.12244897959183673,0.061224489795918366
"(195.0, 229.75]",49,0.4897959183673469,0.4897959183673469,0.5102040816326531,0.5714285714285714,0.32653061224489793,0.12244897959183673,0.061224489795918366
"(229.75, 275.333]",50,0.52,0.52,0.46,0.6,0.24,0.04,0.04
"(275.333, 317.583]",50,0.52,0.52,0.46,0.6,0.24,0.06,0.08
"(317.583, 384.75]",50,0.44,0.44,0.42,0.54,0.18,0.0,0.0
"(384.75, 454.0]",51,0.39215686274509803,0.39215686274509803,0.45098039215686275,0.6470588235294118,0.19607843137254902,0.11764705882352941,0.0784313725490196
"(454.0, 540.167]",49,0.22448979591836735,0.20408163265306123,0.2857142857142857,0.4897959183673469,0.061224489795918366,0.02040816326530612,0.0
"(540.167, 630.75]",50,0.28,0.28,0.22,0.58,0.1,0.02,0.02
"(630.75, 748.083]",50,0.2,0.2,0.16,0.4,0.08,0.14,0.1
"(748.083, 937.292]",50,0.12,0.16,0.1,0.36,0.08,0.0,0.0
"(937.292, 1386.0]",50,0.16,0.16,0.1,0.38,0.06,0.04,0.04
