tie_break_share,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(-0.0009872, 0.00705]",50,0.14,0.14,0.1,0.34,0.06,0.02,0.02
"(0.00705, 0.0243]",50,0.16,0.18,0.14,0.38,0.1,0.04,0.02
"(0.0243, 0.0476]",50,0.32,0.32,0.22,0.44,0.16,0.06,0.06
"(0.0476, 0.0683]",50,0.3,0.32,0.28,0.68,0.14,0.06,0.04
"(0.0683, 0.106]",50,0.32,0.3,0.28,0.52,0.2,0.06,0.04
"(0.106, 0.136]",50,0.4,0.4,0.48,0.6,0.26,0.08,0.06
"(0.136, 0.165]",50,0.46,0.46,0.5,0.64,0.3,0.1,0.06
"(0.165, 0.2]",50,0.46,0.46,0.4,0.54,0.22,0.1,0.04
"(0.2, 0.241]",50,0.44,0.44,0.42,0.54,0.16,0.08,0.02
"(0.241, 0.277]",50,0.52,0.52,0.52,0.7,0.32,0.1,0.04
"(0.277, 0.331]",50,0.4,0.4,0.42,0.56,0.2,0.04,0.06
"(0.331, 0.46]",50,0.5,0.5,0.42,0.6,0.22,0.06,0.06
