test,implied_low,implied_high,implied_median,n,rate,ci_low,ci_high
naive,-0.00099735,0.00102,0.0003287073386693377,100,0.03,0.010254338223414816,0.08452078080402699
naive,0.00102,0.00328,0.0016975296652511393,100,0.04,0.015663050551848016,0.09837217232607373
naive,0.00328,0.00859,0.005356925309222273,100,0.03,0.010254338223414816,0.08452078080402699
naive,0.00859,0.0565,0.028356708340662312,100,0.17,0.10893476059773155,0.25548181233642975
naive,0.0565,0.139,0.10150660876505362,100,0.94,0.8752303146877748,0.9722142547333433
naive,0.139,0.292,0.17675489607856407,100,1.0,0.9630051925239981,0.9999999999999999
permutation,-0.00099735,0.00102,0.0003287073386693377,100,0.04,0.015663050551848016,0.09837217232607373
permutation,0.00102,0.00328,0.0016975296652511393,100,0.04,0.015663050551848016,0.09837217232607373
permutation,0.00328,0.00859,0.005356925309222273,100,0.03,0.010254338223414816,0.08452078080402699
permutation,0.00859,0.0565,0.028356708340662312,100,0.17,0.10893476059773155,0.25548181233642975
permutation,0.0565,0.139,0.10150660876505362,100,0.94,0.8752303146877748,0.9722142547333433
permutation,0.139,0.292,0.17675489607856407,100,1.0,0.9630051925239981,0.9999999999999999
cutpoint_median,-0.00099735,0.00102,0.0003287073386693377,100,0.06,0.02778574526665662,0.12476968531222507
cutpoint_median,0.00102,0.00328,0.0016975296652511393,100,0.03,0.010254338223414816,0.08452078080402699
cutpoint_median,0.00328,0.00859,0.005356925309222273,100,0.05,0.02154336145631356,0.11175196527208817
cutpoint_median,0.00859,0.0565,0.028356708340662312,100,0.15,0.09305903191162297,0.23283733332157835
cutpoint_median,0.0565,0.139,0.10150660876505362,100,0.81,0.7222097592919214,0.8748534600729574
cutpoint_median,0.139,0.292,0.17675489607856407,100,0.99,0.9455124752390653,0.9982326134344526
cutpoint_optimal,-0.00099735,0.00102,0.0003287073386693377,100,0.27,0.1926946091766482,0.3643230022623127
cutpoint_optimal,0.00102,0.00328,0.0016975296652511393,100,0.28,0.2013955916759837,0.37488212361345724
cutpoint_optimal,0.00328,0.00859,0.005356925309222273,100,0.29,0.21014706973984146,0.38539074940007934
cutpoint_optimal,0.00859,0.0565,0.028356708340662312,100,0.5,0.40382982859014716,0.5961701714098528
cutpoint_optimal,0.0565,0.139,0.10150660876505362,100,0.93,0.8625032899347025,0.965681175635936
cutpoint_optimal,0.139,0.292,0.17675489607856407,100,1.0,0.9630051925239981,0.9999999999999999
random,-0.00099735,0.00102,0.0003287073386693377,100,0.04,0.015663050551848016,0.09837217232607373
random,0.00102,0.00328,0.0016975296652511393,100,0.04,0.015663050551848016,0.09837217232607373
random,0.00328,0.00859,0.005356925309222273,100,0.03,0.010254338223414816,0.08452078080402699
random,0.00859,0.0565,0.028356708340662312,100,0.01,0.0017673865655472645,0.0544875247609346
random,0.0565,0.139,0.10150660876505362,100,0.21,0.14165549531645788,0.2998014930196232
random,0.139,0.292,0.17675489607856407,100,0.84,0.7557955544110557,0.8990479765052628
expression,-0.00099735,0.00102,0.0003287073386693377,100,0.06,0.02778574526665662,0.12476968531222507
expression,0.00102,0.00328,0.0016975296652511393,100,0.03,0.010254338223414816,0.08452078080402699
expression,0.00328,0.00859,0.005356925309222273,100,0.06,0.02778574526665662,0.12476968531222507
expression,0.00859,0.0565,0.028356708340662312,100,0.02,0.005501852234968185,0.07001316294199365
expression,0.0565,0.139,0.10150660876505362,100,0.04,0.015663050551848016,0.09837217232607373
expression,0.139,0.292,0.17675489607856407,100,0.19,0.1251465399270426,0.27779024070807856
codetection,-0.00099735,0.00102,0.0003287073386693377,100,0.03,0.010254338223414816,0.08452078080402699
codetection,0.00102,0.00328,0.0016975296652511393,100,0.04,0.015663050551848016,0.09837217232607373
codetection,0.00328,0.00859,0.005356925309222273,100,0.04,0.015663050551848016,0.09837217232607373
codetection,0.00859,0.0565,0.028356708340662312,100,0.04,0.015663050551848016,0.09837217232607373
codetection,0.0565,0.139,0.10150660876505362,100,0.04,0.015663050551848016,0.09837217232607373
codetection,0.139,0.292,0.17675489607856407,100,0.07,0.034318824364064096,0.13749671006529757
