depth_ratio,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.818, 0.97]",40,1.0,1.0,0.975,0.975,0.95,1.0,1.0
"(0.97, 1.002]",41,0.9512195121951219,0.9512195121951219,0.926829268292683,0.9512195121951219,0.9512195121951219,0.975609756097561,1.0
"(1.002, 1.037]",39,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8974358974358975,0.8205128205128205,0.8974358974358975,0.8974358974358975
"(1.037, 1.098]",40,0.925,0.925,0.925,0.95,0.875,1.0,1.0
"(1.098, 1.168]",40,0.875,0.875,0.75,0.85,0.775,0.875,0.875
"(1.168, 1.242]",42,0.9285714285714286,0.9285714285714286,0.8809523809523809,0.9285714285714286,0.8809523809523809,0.9761904761904762,1.0
"(1.242, 1.295]",38,0.8421052631578947,0.8421052631578947,0.8157894736842105,0.8947368421052632,0.7631578947368421,0.868421052631579,0.868421052631579
"(1.295, 1.337]",40,0.85,0.85,0.85,0.875,0.825,0.925,0.925
"(1.337, 1.501]",40,0.85,0.85,0.825,0.925,0.85,0.925,0.875
"(1.501, 1.775]",42,0.8095238095238095,0.8095238095238095,0.7380952380952381,0.8571428571428571,0.7380952380952381,0.8809523809523809,0.8571428571428571
"(1.775, 1.905]",38,0.868421052631579,0.8947368421052632,0.8421052631578947,0.8947368421052632,0.8421052631578947,0.8947368421052632,0.8947368421052632
"(1.905, 2.098]",40,0.9,0.9,0.825,0.925,0.8,0.925,0.9
