median_detected,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(285.999, 314.917]",40,0.9,0.9,0.825,0.925,0.8,0.925,0.9
"(314.917, 338.0]",42,0.8809523809523809,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.9047619047619048
"(338.0, 399.75]",38,0.7894736842105263,0.7894736842105263,0.7105263157894737,0.8421052631578947,0.7105263157894737,0.868421052631579,0.8421052631578947
"(399.75, 448.833]",40,0.85,0.85,0.825,0.925,0.85,0.925,0.875
"(448.833, 463.292]",40,0.85,0.85,0.85,0.875,0.825,0.925,0.925
"(463.292, 483.0]",42,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.9047619047619048,0.7857142857142857,0.8809523809523809,0.8809523809523809
"(483.0, 513.708]",38,0.9210526315789473,0.9210526315789473,0.868421052631579,0.9210526315789473,0.868421052631579,0.9736842105263158,1.0
"(513.708, 546.333]",40,0.875,0.875,0.75,0.85,0.775,0.875,0.875
"(546.333, 578.5]",40,0.925,0.925,0.925,0.95,0.875,1.0,1.0
"(578.5, 599.0]",42,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.8333333333333334,0.9047619047619048,0.9047619047619048
"(599.0, 618.542]",38,0.9473684210526315,0.9473684210526315,0.9210526315789473,0.9473684210526315,0.9473684210526315,0.9736842105263158,1.0
"(618.542, 733.0]",40,1.0,1.0,0.975,0.975,0.95,1.0,1.0
