tie_break_share,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.0027, 0.0154]",40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0.0154, 0.0266]",40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0.0266, 0.0414]",40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0.0414, 0.0513]",40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0.0513, 0.0688]",40,1.0,1.0,1.0,1.0,0.975,1.0,1.0
"(0.0688, 0.0874]",40,1.0,1.0,0.975,0.975,1.0,1.0,1.0
"(0.0874, 0.121]",40,1.0,1.0,0.975,1.0,0.975,1.0,1.0
"(0.121, 0.167]",40,0.925,0.925,0.925,0.925,0.9,0.95,0.95
"(0.167, 0.223]",40,0.875,0.875,0.875,0.925,0.8,0.95,0.975
"(0.223, 0.319]",40,0.825,0.825,0.75,0.85,0.675,0.875,0.875
"(0.319, 0.463]",40,0.525,0.525,0.325,0.625,0.4,0.775,0.725
"(0.463, 0.662]",40,0.5,0.525,0.375,0.625,0.35,0.6,0.575
