test,implied_low,implied_high,implied_median,n,rate,ci_low,ci_high
naive,-0.00099477,0.000967,0.0004521954336412753,80,0.925,0.8458779990261992,0.9651752251489122
naive,0.000967,0.00289,0.0018025742148625639,80,0.9,0.8148912101660255,0.9484530008223144
naive,0.00289,0.0102,0.004955284874048742,80,0.9,0.8148912101660255,0.9484530008223144
naive,0.0102,0.117,0.040127424255243314,80,0.6,0.49045264548149986,0.700383407265585
naive,0.117,0.283,0.20611853915022682,80,1.0,0.954180263735425,1.0
naive,0.283,0.465,0.35724685951548696,80,1.0,0.954180263735425,1.0
permutation,-0.00099477,0.000967,0.0004521954336412753,80,0.9375,0.8618967084664824,0.9730110223020145
permutation,0.000967,0.00289,0.0018025742148625639,80,0.9,0.8148912101660255,0.9484530008223144
permutation,0.00289,0.0102,0.004955284874048742,80,0.9,0.8148912101660255,0.9484530008223144
permutation,0.0102,0.117,0.040127424255243314,80,0.6,0.49045264548149986,0.700383407265585
permutation,0.117,0.283,0.20611853915022682,80,1.0,0.954180263735425,1.0
permutation,0.283,0.465,0.35724685951548696,80,1.0,0.954180263735425,1.0
cutpoint_median,-0.00099477,0.000967,0.0004521954336412753,80,0.875,0.7849700281693438,0.9306651696322249
cutpoint_median,0.000967,0.00289,0.0018025742148625639,80,0.85,0.7558657249889396,0.9120604596258579
cutpoint_median,0.00289,0.0102,0.004955284874048742,80,0.85,0.7558657249889396,0.9120604596258579
cutpoint_median,0.0102,0.117,0.040127424255243314,80,0.525,0.41695451180328746,0.6307545013834838
cutpoint_median,0.117,0.283,0.20611853915022682,80,1.0,0.954180263735425,1.0
cutpoint_median,0.283,0.465,0.35724685951548696,80,1.0,0.954180263735425,1.0
cutpoint_optimal,-0.00099477,0.000967,0.0004521954336412753,80,0.9375,0.8618967084664824,0.9730110223020145
cutpoint_optimal,0.000967,0.00289,0.0018025742148625639,80,0.9125,0.8302301722291654,0.95696854535256
cutpoint_optimal,0.00289,0.0102,0.004955284874048742,80,0.925,0.8458779990261992,0.9651752251489122
cutpoint_optimal,0.0102,0.117,0.040127424255243314,80,0.6875,0.5793201821792608,0.7784974167215235
cutpoint_optimal,0.117,0.283,0.20611853915022682,80,1.0,0.954180263735425,1.0
cutpoint_optimal,0.283,0.465,0.35724685951548696,80,1.0,0.954180263735425,1.0
random,-0.00099477,0.000967,0.0004521954336412753,80,0.925,0.8458779990261992,0.9651752251489122
random,0.000967,0.00289,0.0018025742148625639,80,0.875,0.7849700281693438,0.9306651696322249
random,0.00289,0.0102,0.004955284874048742,80,0.875,0.7849700281693438,0.9306651696322249
random,0.0102,0.117,0.040127424255243314,80,0.3625,0.26570633724259446,0.47189409023016365
random,0.117,0.283,0.20611853915022682,80,1.0,0.954180263735425,1.0
random,0.283,0.465,0.35724685951548696,80,1.0,0.954180263735425,1.0
expression,-0.00099477,0.000967,0.0004521954336412753,80,0.9375,0.8618967084664824,0.9730110223020145
expression,0.000967,0.00289,0.0018025742148625639,80,0.8875,0.7998158913432244,0.9396738130517298
expression,0.00289,0.0102,0.004955284874048742,80,0.9375,0.8618967084664824,0.9730110223020145
expression,0.0102,0.117,0.040127424255243314,80,0.8125,0.7134147429619243,0.8829479218727162
expression,0.117,0.283,0.20611853915022682,80,1.0,0.954180263735425,1.0
expression,0.283,0.465,0.35724685951548696,80,1.0,0.954180263735425,1.0
codetection,-0.00099477,0.000967,0.0004521954336412753,80,0.925,0.8458779990261992,0.9651752251489122
codetection,0.000967,0.00289,0.0018025742148625639,80,0.8875,0.7998158913432244,0.9396738130517298
codetection,0.00289,0.0102,0.004955284874048742,80,0.9375,0.8618967084664824,0.9730110223020145
codetection,0.0102,0.117,0.040127424255243314,80,0.8,0.6995355220341885,0.8729726362070666
codetection,0.117,0.283,0.20611853915022682,80,1.0,0.954180263735425,1.0
codetection,0.283,0.465,0.35724685951548696,80,1.0,0.954180263735425,1.0
