effect,test,k,n,rate,ci_low,ci_high
0.25,random (two-sided),187,240,0.7791666666666667,0.7225176517861952,0.8270194247421739
0.25,random (lower),0,240,0.0,0.0,0.015754489799935698
0.25,random (upper),194,240,0.8083333333333333,0.7538324872699528,0.8531189106867535
0.25,expression (two-sided),209,240,0.8708333333333333,0.8224911734941868,0.9074909132375276
0.25,expression (lower),0,240,0.0,0.0,0.015754489799935698
0.25,expression (upper),218,240,0.9083333333333333,0.8651148636418499,0.9386856363548693
0.25,codetection (two-sided),207,240,0.8625,0.8131885436096845,0.9003894512853622
0.25,codetection (lower),0,240,0.0,0.0,0.015754489799935698
0.25,codetection (upper),216,240,0.9,0.8555194571936857,0.9318769509663658
0.5,random (two-sided),216,240,0.9,0.8555194571936857,0.9318769509663658
0.5,random (lower),0,240,0.0,0.0,0.015754489799935698
0.5,random (upper),216,240,0.9,0.8555194571936857,0.9318769509663658
0.5,expression (two-sided),237,240,0.9875,0.9638993626332216,0.9957400098118411
0.5,expression (lower),0,240,0.0,0.0,0.015754489799935698
0.5,expression (upper),238,240,0.9916666666666667,0.9701296537265586,0.997711764636838
0.5,codetection (two-sided),237,240,0.9875,0.9638993626332216,0.9957400098118411
0.5,codetection (lower),0,240,0.0,0.0,0.015754489799935698
0.5,codetection (upper),239,240,0.9958333333333333,0.9767793433714805,0.9992641209102499
