depth_ratio,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.791, 0.947]",34,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.7058823529411765,0.2647058823529412,0.14705882352941177,0.11764705882352941
"(0.947, 1.003]",33,0.5757575757575758,0.5757575757575758,0.48484848484848486,0.6666666666666666,0.21212121212121213,0.030303030303030304,0.030303030303030304
"(1.003, 1.07]",34,0.5588235294117647,0.5588235294117647,0.3235294117647059,0.7058823529411765,0.11764705882352941,0.08823529411764706,0.11764705882352941
"(1.07, 1.151]",33,0.5757575757575758,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.2727272727272727,0.0,0.0
"(1.151, 1.216]",33,0.696969696969697,0.696969696969697,0.5757575757575758,0.7878787878787878,0.30303030303030304,0.030303030303030304,0.030303030303030304
"(1.216, 1.282]",36,0.75,0.75,0.5277777777777778,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.027777777777777776
"(1.282, 1.316]",30,0.5666666666666667,0.5666666666666667,0.6,0.7666666666666667,0.2,0.1,0.13333333333333333
"(1.316, 1.395]",34,0.6764705882352942,0.6764705882352942,0.6470588235294118,0.7352941176470589,0.29411764705882354,0.058823529411764705,0.029411764705882353
"(1.395, 1.543]",33,0.7272727272727273,0.7272727272727273,0.5151515151515151,0.6666666666666666,0.21212121212121213,0.030303030303030304,0.030303030303030304
"(1.543, 1.681]",36,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.19444444444444445,0.027777777777777776,0.0
"(1.681, 1.811]",30,0.6666666666666666,0.6666666666666666,0.5,0.7666666666666667,0.2,0.0,0.06666666666666667
"(1.811, 2.098]",34,0.6176470588235294,0.6176470588235294,0.5882352941176471,0.6470588235294118,0.29411764705882354,0.029411764705882353,0.029411764705882353
