median_detected,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(285.999, 331.25]",34,0.6176470588235294,0.6176470588235294,0.5882352941176471,0.6470588235294118,0.29411764705882354,0.029411764705882353,0.029411764705882353
"(331.25, 357.0]",34,0.6176470588235294,0.6176470588235294,0.47058823529411764,0.7058823529411765,0.17647058823529413,0.0,0.058823529411764705
"(357.0, 388.75]",32,0.71875,0.71875,0.53125,0.71875,0.21875,0.03125,0.0
"(388.75, 430.0]",34,0.7352941176470589,0.7352941176470589,0.5,0.6470588235294118,0.20588235294117646,0.029411764705882353,0.029411764705882353
"(430.0, 455.875]",33,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7575757575757576,0.30303030303030304,0.06060606060606061,0.030303030303030304
"(455.875, 468.0]",34,0.6176470588235294,0.6176470588235294,0.5882352941176471,0.7941176470588235,0.20588235294117646,0.11764705882352941,0.14705882352941177
"(468.0, 493.375]",32,0.71875,0.71875,0.53125,0.75,0.15625,0.03125,0.0
"(493.375, 521.5]",34,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.7941176470588235,0.29411764705882354,0.029411764705882353,0.029411764705882353
"(521.5, 560.5]",34,0.5882352941176471,0.5588235294117647,0.5588235294117647,0.6470588235294118,0.29411764705882354,0.0,0.029411764705882353
"(560.5, 598.25]",32,0.53125,0.53125,0.28125,0.6875,0.09375,0.09375,0.09375
"(598.25, 633.75]",33,0.5757575757575758,0.5757575757575758,0.48484848484848486,0.6666666666666666,0.21212121212121213,0.030303030303030304,0.030303030303030304
"(633.75, 758.0]",34,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.7058823529411765,0.2647058823529412,0.14705882352941177,0.11764705882352941
