tie_break_share,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.014499999999999999, 0.0472]",34,0.7941176470588235,0.7941176470588235,0.6470588235294118,0.9117647058823529,0.5,0.11764705882352941,0.058823529411764705
"(0.0472, 0.077]",33,0.6363636363636364,0.6363636363636364,0.48484848484848486,0.8787878787878788,0.30303030303030304,0.030303030303030304,0.030303030303030304
"(0.077, 0.101]",33,0.5454545454545454,0.5151515151515151,0.45454545454545453,0.6363636363636364,0.24242424242424243,0.0,0.0
"(0.101, 0.126]",33,0.5757575757575758,0.5757575757575758,0.48484848484848486,0.6363636363636364,0.21212121212121213,0.09090909090909091,0.09090909090909091
"(0.126, 0.157]",34,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.6764705882352942,0.17647058823529413,0.08823529411764706,0.029411764705882353
"(0.157, 0.199]",33,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.8787878787878788,0.21212121212121213,0.030303030303030304,0.06060606060606061
"(0.199, 0.239]",33,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.5151515151515151,0.12121212121212122,0.0,0.0
"(0.239, 0.292]",33,0.48484848484848486,0.5151515151515151,0.42424242424242425,0.5757575757575758,0.24242424242424243,0.06060606060606061,0.09090909090909091
"(0.292, 0.377]",34,0.7647058823529411,0.7352941176470589,0.5588235294117647,0.6764705882352942,0.17647058823529413,0.058823529411764705,0.058823529411764705
"(0.377, 0.463]",33,0.7575757575757576,0.7272727272727273,0.5151515151515151,0.7575757575757576,0.15151515151515152,0.06060606060606061,0.12121212121212122
"(0.463, 0.556]",33,0.6363636363636364,0.6363636363636364,0.42424242424242425,0.6666666666666666,0.21212121212121213,0.06060606060606061,0.030303030303030304
"(0.556, 0.719]",34,0.7352941176470589,0.7647058823529411,0.5588235294117647,0.7058823529411765,0.17647058823529413,0.0,0.029411764705882353
