test,implied_low,implied_high,implied_median,n,rate,ci_low,ci_high
naive,-0.0009673,0.034,0.020438805804654993,67,0.014925373134328358,0.002639503757676784,0.0798205197313466
naive,0.034,0.0536,0.045109989145642154,67,0.34328358208955223,0.24088841959339707,0.4626755879953642
naive,0.0536,0.0713,0.06157972962329164,66,0.6060606060606061,0.48548180775863853,0.7149717900970809
naive,0.0713,0.101,0.08285857836779512,66,0.8787878787878788,0.7786234136612515,0.9372822929663172
naive,0.101,0.133,0.11432580371617233,67,1.0,0.9457719757882374,0.9999999999999999
naive,0.133,0.246,0.16057239374368443,67,1.0,0.9457719757882374,0.9999999999999999
permutation,-0.0009673,0.034,0.020438805804654993,67,0.014925373134328358,0.002639503757676784,0.0798205197313466
permutation,0.034,0.0536,0.045109989145642154,67,0.31343283582089554,0.2150519322660779,0.4320480767681618
permutation,0.0536,0.0713,0.06157972962329164,66,0.6060606060606061,0.48548180775863853,0.7149717900970809
permutation,0.0713,0.101,0.08285857836779512,66,0.8939393939393939,0.7968747426118539,0.9476671922808175
permutation,0.101,0.133,0.11432580371617233,67,1.0,0.9457719757882374,0.9999999999999999
permutation,0.133,0.246,0.16057239374368443,67,1.0,0.9457719757882374,0.9999999999999999
cutpoint_median,-0.0009673,0.034,0.020438805804654993,67,0.07462686567164178,0.032295572977927914,0.16309244762013875
cutpoint_median,0.034,0.0536,0.045109989145642154,67,0.208955223880597,0.12875568729828915,0.32072032679512485
cutpoint_median,0.0536,0.0713,0.06157972962329164,66,0.4090909090909091,0.2986723457922731,0.5295102846171105
cutpoint_median,0.0713,0.101,0.08285857836779512,66,0.5909090909090909,0.4704897153828895,0.7013276542077269
cutpoint_median,0.101,0.133,0.11432580371617233,67,0.8507462686567164,0.7465938251018798,0.9168581579137494
cutpoint_median,0.133,0.246,0.16057239374368443,67,0.9701492537313433,0.8975324995811698,0.991775477652546
cutpoint_optimal,-0.0009673,0.034,0.020438805804654993,67,0.2537313432835821,0.16487779577697392,0.36929421614822255
cutpoint_optimal,0.034,0.0536,0.045109989145642154,67,0.5223880597014925,0.40484988526831645,0.6374981136475746
cutpoint_optimal,0.0536,0.0713,0.06157972962329164,66,0.6212121212121212,0.5005825419249831,0.728507284195839
cutpoint_optimal,0.0713,0.101,0.08285857836779512,66,0.8636363636363636,0.7607018517959349,0.9265676265665311
cutpoint_optimal,0.101,0.133,0.11432580371617233,67,1.0,0.9457719757882374,0.9999999999999999
cutpoint_optimal,0.133,0.246,0.16057239374368443,67,1.0,0.9457719757882374,0.9999999999999999
random,-0.0009673,0.034,0.020438805804654993,67,0.0,0.0,0.05422802421176257
random,0.034,0.0536,0.045109989145642154,67,0.014925373134328358,0.002639503757676784,0.0798205197313466
random,0.0536,0.0713,0.06157972962329164,66,0.0,0.0,0.05500446725160935
random,0.0713,0.101,0.08285857836779512,66,0.09090909090909091,0.042332398591397716,0.18448943825082814
random,0.101,0.133,0.11432580371617233,67,0.43283582089552236,0.32104123341736546,0.5519147698349607
random,0.133,0.246,0.16057239374368443,67,0.8208955223880597,0.7125228638737021,0.8944651205874056
expression,-0.0009673,0.034,0.020438805804654993,67,0.029850746268656716,0.008224522347453904,0.10246750041883029
expression,0.034,0.0536,0.045109989145642154,67,0.014925373134328358,0.002639503757676784,0.0798205197313466
expression,0.0536,0.0713,0.06157972962329164,66,0.045454545454545456,0.015577991894810295,0.1253351601521073
expression,0.0713,0.101,0.08285857836779512,66,0.045454545454545456,0.015577991894810295,0.1253351601521073
expression,0.101,0.133,0.11432580371617233,67,0.08955223880597014,0.04169038288133413,0.18192963699399334
expression,0.133,0.246,0.16057239374368443,67,0.07462686567164178,0.032295572977927914,0.16309244762013875
codetection,-0.0009673,0.034,0.020438805804654993,67,0.029850746268656716,0.008224522347453904,0.10246750041883029
codetection,0.034,0.0536,0.045109989145642154,67,0.014925373134328358,0.002639503757676784,0.0798205197313466
codetection,0.0536,0.0713,0.06157972962329164,66,0.045454545454545456,0.015577991894810295,0.1253351601521073
codetection,0.0713,0.101,0.08285857836779512,66,0.06060606060606061,0.023818229304678556,0.14573115100734177
codetection,0.101,0.133,0.11432580371617233,67,0.11940298507462686,0.06176158770587534,0.21832243072397375
codetection,0.133,0.246,0.16057239374368443,67,0.029850746268656716,0.008224522347453904,0.10246750041883029
