depth_ratio,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.823, 1.022]",20,0.4,0.4,0.35,0.65,0.25,0.15,0.1
"(1.022, 1.132]",20,0.3,0.25,0.2,0.55,0.05,0.0,0.05
"(1.132, 1.205]",20,0.35,0.35,0.4,0.5,0.15,0.0,0.0
"(1.205, 1.245]",21,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.7619047619047619,0.09523809523809523,0.047619047619047616,0.047619047619047616
"(1.245, 1.281]",19,0.3684210526315789,0.3684210526315789,0.3157894736842105,0.631578947368421,0.10526315789473684,0.0,0.05263157894736842
"(1.281, 1.311]",21,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.047619047619047616
"(1.311, 1.336]",20,0.25,0.25,0.35,0.65,0.0,0.0,0.0
"(1.336, 1.377]",19,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.5789473684210527,0.0,0.0,0.0
"(1.377, 1.411]",20,0.35,0.35,0.2,0.5,0.05,0.05,0.05
"(1.411, 1.502]",20,0.25,0.25,0.25,0.45,0.0,0.05,0.0
"(1.502, 1.642]",20,0.2,0.2,0.25,0.5,0.0,0.05,0.05
"(1.642, 2.102]",20,0.45,0.45,0.4,0.5,0.1,0.0,0.0
