median_detected,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(285.499, 365.458]",20,0.45,0.45,0.4,0.5,0.1,0.0,0.0
"(365.458, 399.417]",20,0.2,0.2,0.25,0.5,0.0,0.05,0.05
"(399.417, 425.375]",20,0.25,0.25,0.25,0.45,0.0,0.05,0.0
"(425.375, 435.667]",20,0.35,0.35,0.2,0.5,0.05,0.05,0.05
"(435.667, 449.0]",21,0.23809523809523808,0.23809523809523808,0.2857142857142857,0.6190476190476191,0.0,0.0,0.0
"(449.0, 457.5]",20,0.25,0.25,0.3,0.55,0.0,0.0,0.0
"(457.5, 468.208]",19,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.47368421052631576,0.15789473684210525,0.05263157894736842,0.05263157894736842
"(468.208, 482.0]",22,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.045454545454545456
"(482.0, 498.125]",18,0.2777777777777778,0.2777777777777778,0.3888888888888889,0.7777777777777778,0.1111111111111111,0.05555555555555555,0.05555555555555555
"(498.125, 529.917]",20,0.35,0.35,0.4,0.5,0.15,0.0,0.0
"(529.917, 587.25]",20,0.3,0.25,0.2,0.55,0.05,0.0,0.05
"(587.25, 728.0]",20,0.4,0.4,0.35,0.65,0.25,0.15,0.1
