tie_break_share,n,naive,permutation,cutpoint_median,cutpoint_optimal,random,expression,codetection
"(0.00819, 0.0491]",20,0.4,0.4,0.4,0.65,0.3,0.1,0.05
"(0.0491, 0.065]",20,0.45,0.45,0.4,0.75,0.25,0.05,0.1
"(0.065, 0.0847]",20,0.5,0.5,0.25,0.8,0.15,0.0,0.0
"(0.0847, 0.0991]",20,0.5,0.45,0.3,0.55,0.05,0.0,0.0
"(0.0991, 0.114]",20,0.45,0.45,0.35,0.65,0.1,0.05,0.05
"(0.114, 0.126]",20,0.25,0.25,0.3,0.5,0.0,0.1,0.05
"(0.126, 0.139]",20,0.1,0.1,0.45,0.55,0.0,0.0,0.0
"(0.139, 0.153]",20,0.3,0.3,0.35,0.5,0.1,0.0,0.05
"(0.153, 0.167]",20,0.3,0.3,0.2,0.5,0.0,0.0,0.0
"(0.167, 0.193]",20,0.1,0.1,0.1,0.35,0.0,0.0,0.0
"(0.193, 0.225]",20,0.15,0.15,0.25,0.5,0.0,0.0,0.1
"(0.225, 0.32]",20,0.15,0.15,0.2,0.4,0.0,0.1,0.0
