test,implied_low,implied_high,implied_median,n,rate,ci_low,ci_high
naive,-0.00099398,0.00182,0.0006614618274202802,40,0.0,0.0,0.08762453925039232
naive,0.00182,0.00705,0.004334791024512613,40,0.0,0.0,0.08762453925039232
naive,0.00705,0.02,0.01218694354089946,40,0.075,0.025835556771858226,0.19864530159097524
naive,0.02,0.0415,0.030968341283557063,40,0.2,0.10499864973166874,0.34757607381856676
naive,0.0415,0.0787,0.055953956997348384,40,0.55,0.39828829888440775,0.6929492471905531
naive,0.0787,0.203,0.10533640312579041,40,1.0,0.9123754607496077,1.0
permutation,-0.00099398,0.00182,0.0006614618274202802,40,0.0,0.0,0.08762453925039232
permutation,0.00182,0.00705,0.004334791024512613,40,0.0,0.0,0.08762453925039232
permutation,0.00705,0.02,0.01218694354089946,40,0.075,0.025835556771858226,0.19864530159097524
permutation,0.02,0.0415,0.030968341283557063,40,0.175,0.08745302996883066,0.3195029205439244
permutation,0.0415,0.0787,0.055953956997348384,40,0.55,0.39828829888440775,0.6929492471905531
permutation,0.0787,0.203,0.10533640312579041,40,1.0,0.9123754607496077,1.0
cutpoint_median,-0.00099398,0.00182,0.0006614618274202802,40,0.025,0.0044267174077949195,0.1288165948800778
cutpoint_median,0.00182,0.00705,0.004334791024512613,40,0.075,0.025835556771858226,0.19864530159097524
cutpoint_median,0.00705,0.02,0.01218694354089946,40,0.1,0.03957888759557486,0.23052074380473897
cutpoint_median,0.02,0.0415,0.030968341283557063,40,0.25,0.14186967895549518,0.40194259066970106
cutpoint_median,0.0415,0.0787,0.055953956997348384,40,0.6,0.445956198273935,0.7365188938759863
cutpoint_median,0.0787,0.203,0.10533640312579041,40,0.725,0.5716474916687543,0.8389214656685692
cutpoint_optimal,-0.00099398,0.00182,0.0006614618274202802,40,0.275,0.1610785343314309,0.4283525083312457
cutpoint_optimal,0.00182,0.00705,0.004334791024512613,40,0.3,0.18074670915695296,0.454303106543204
cutpoint_optimal,0.00705,0.02,0.01218694354089946,40,0.375,0.2422277353579172,0.529678399454681
cutpoint_optimal,0.02,0.0415,0.030968341283557063,40,0.675,0.52017458088898,0.7991568303733828
cutpoint_optimal,0.0415,0.0787,0.055953956997348384,40,0.75,0.598057409330299,0.8581303210445048
cutpoint_optimal,0.0787,0.203,0.10533640312579041,40,0.975,0.8711834051199223,0.9955732825922052
random,-0.00099398,0.00182,0.0006614618274202802,40,0.0,0.0,0.08762453925039232
random,0.00182,0.00705,0.004334791024512613,40,0.0,0.0,0.08762453925039232
random,0.00705,0.02,0.01218694354089946,40,0.025,0.0044267174077949195,0.1288165948800778
random,0.02,0.0415,0.030968341283557063,40,0.05,0.013820377146101098,0.165041708179252
random,0.0415,0.0787,0.055953956997348384,40,0.025,0.0044267174077949195,0.1288165948800778
random,0.0787,0.203,0.10533640312579041,40,0.375,0.2422277353579172,0.529678399454681
expression,-0.00099398,0.00182,0.0006614618274202802,40,0.025,0.0044267174077949195,0.1288165948800778
expression,0.00182,0.00705,0.004334791024512613,40,0.05,0.013820377146101098,0.165041708179252
expression,0.00705,0.02,0.01218694354089946,40,0.025,0.0044267174077949195,0.1288165948800778
expression,0.02,0.0415,0.030968341283557063,40,0.025,0.0044267174077949195,0.1288165948800778
expression,0.0415,0.0787,0.055953956997348384,40,0.025,0.0044267174077949195,0.1288165948800778
expression,0.0787,0.203,0.10533640312579041,40,0.05,0.013820377146101098,0.165041708179252
codetection,-0.00099398,0.00182,0.0006614618274202802,40,0.0,0.0,0.08762453925039232
codetection,0.00182,0.00705,0.004334791024512613,40,0.05,0.013820377146101098,0.165041708179252
codetection,0.00705,0.02,0.01218694354089946,40,0.075,0.025835556771858226,0.19864530159097524
codetection,0.02,0.0415,0.030968341283557063,40,0.025,0.0044267174077949195,0.1288165948800778
codetection,0.0415,0.0787,0.055953956997348384,40,0.0,0.0,0.08762453925039232
codetection,0.0787,0.203,0.10533640312579041,40,0.05,0.013820377146101098,0.165041708179252
