crossref_year,doi,journal_match,key,note,status,title_match,year_source
2021,10.1038/s41588-021-00911-1,1.00,wu2021,,ok,1.00,published-print
2021,10.15252/embj.2020107333,1.00,pal2021,,ok,1.00,published-print
2017,10.1038/nmeth.4463,1.00,aibar2017,,ok,1.00,published-print
2021,10.1016/j.csbj.2021.06.043,1.00,andreatta2021,,ok,1.00,published-print
2013,10.1186/1471-2105-14-7,1.00,hanzelmann2013,,ok,1.00,published-print
2018,10.1186/s12859-018-2435-4,1.00,foroutan2018,,ok,1.00,published-print
2016,10.1126/science.aad0501,1.00,tirosh2016,,ok,1.00,published-print
2022,10.1093/bioadv/vbac016,1.00,badia2022,,ok,1.00,published-print
2021,10.1038/s41467-021-25960-2,1.00,squair2021,,ok,1.00,issued
2021,10.1038/s41467-021-21038-1,1.00,zimmerman2021,,ok,1.00,issued
2020,10.1186/s13059-020-1949-z,1.00,holland2020,,ok,1.00,published-print
2024,10.1093/nargab/lqae124,1.00,wang2024scps,,ok,1.00,published-print
2024,10.1186/s13059-024-03241-7,1.00,bhuva2024,,ok,1.00,issued
2015,10.1016/j.cels.2015.12.004,1.00,liberzon2015,,ok,0.95,published-print
2005,10.1073/pnas.0506580102,0.96,subramanian2005,,ok,1.00,published-print
2009,10.1038/nature08460,1.00,barbie2009,,ok,1.00,published-print
1994,10.1093/jnci/86.23.1798-a,0.94,altman1994,,ok,0.98,published-print
2006,10.1002/sim.2331,1.00,royston2006,,ok,1.00,published-print
1927,10.1080/01621459.1927.10502953,1.00,wilson1927,,ok,1.00,published-print
2024,10.1101/2024.06.03.597180,,wenzel2024,,ok,1.00,issued
2016,10.1038/ng.3593,1.00,alvarez2016,,ok,1.00,published-print
2017,10.7554/eLife.27041,1.00,regev2017,,ok,1.00,issued
2019,10.15252/msb.20188746,1.00,luecken2019,,ok,1.00,published-print
2018,10.1186/s13059-017-1382-0,1.00,wolf2018,,ok,1.00,published-print
2021,10.1016/j.cell.2021.04.048,1.00,hao2021,,ok,1.00,published-print
2016,10.1186/s13059-016-0888-1,1.00,ilicic2016,,ok,1.00,published-print
2018,10.1093/biostatistics/kxx053,1.00,hicks2017,,ok,0.99,published-print
2020,10.1038/s41587-019-0379-5,1.00,svensson2020,,ok,0.99,published-print
2010,10.1186/gb-2010-11-10-r106,1.00,anders2010,,ok,1.00,published-print
2010,10.1186/gb-2010-11-3-r25,1.00,robinson2010,,ok,1.00,issued
2016,10.1186/s13059-016-0947-7,1.00,lun2016,,ok,1.00,published-print
2019,10.1186/s13059-019-1874-1,1.00,hafemeister2019,,ok,1.00,published-print
1904,10.2307/1412159,1.00,spearman1904,,ok,1.00,published-print
2017,10.1186/s13059-017-1305-0,1.00,zappia2017,,ok,1.00,published-print
2017,10.1093/bioinformatics/btx435,1.00,vieth2017,,ok,1.00,published-print
2020,10.1038/s41592-019-0686-2,1.00,virtanen2020,,ok,1.00,published-print
2020,10.1038/s41586-020-2649-2,1.00,harris2020,,ok,1.00,published-print
2018,10.1038/nmeth.4612,1.00,soneson2018,,ok,1.00,published-print
